stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,level_id
77,,Nirman Vihar,,28.637049,77.287872,,,0,,,0,,
78,,Laxmi Nagar,,28.629843,77.276428,,,0,,,0,,
79,,Noida City Centre,,28.574593,77.356117,,,0,,,0,,
80,,Golf Course,,28.567383301352784,77.34632575202428,,,0,,,0,,
81,,Botanical Garden,,28.563934552185067,77.33439597099496,,,0,,,0,,
82,,Noida Sec -18,,28.570843,77.326088,,,0,,,0,,
83,,Noida Sec -16,,28.577921,77.318115,,,0,,,0,,
84,,Noida Sec -15,,28.585018,77.311584,,,0,,,0,,
85,,New Ashok Nagar,,28.58847,77.30146,,,0,,,0,,
86,,Mayur Vihar Ext,,28.594124,77.294495,,,0,,,0,,
87,,Mayur Vihar-I,,28.60364485862199,77.29092370599025,,,0,,,0,,
88,,Akshardham,,28.618364,77.279816,,,0,,,0,,
89,,Yamuna Bank,,28.623178,77.267937,,,0,,,0,,
90,,Indraprastha,,28.620272,77.250076,,,0,,,0,,
91,,Supreme Court,,28.623438,77.2425,,,0,,,0,,
92,,Mandi House,,28.62558978831039,77.23423165349466,,,0,,,0,,
93,,Barakhamba,,28.629662,77.224876,,,0,,,0,,
94,,RK Ashram Marg,,28.63922535663788,77.20856768121514,,,0,,,0,,
95,,Jhandewalan,,28.644312,77.199791,,,0,,,0,,
96,,Karol Bagh,,28.643925,77.188416,,,0,,,0,,
97,,Rajendra Place,,28.64252098088257,77.1783223456237,,,0,,,0,,
98,,Patel Nagar,,28.645035001762725,77.1693524233503,,,0,,,0,,
99,,Shadipur,,28.651654026979298,77.15831929668366,,,0,,,0,,
100,,Kirti Nagar,,28.654525593611528,77.15135650028259,,,0,,,0,,
101,,Moti Nagar,,28.657858395290432,77.14243701213343,,,0,,,0,,
102,,Ramesh Nagar,,28.652809,77.131462,,,0,,,0,,
103,,Rajouri Garden,,28.651202101134405,77.12427114745412,,,0,,,0,,
104,,Tagore Garden,,28.643795,77.112747,,,0,,,0,,
105,,Subash Nagar,,28.640463581888355,77.10519523216267,,,0,,,0,,
106,,Tilak Nagar,,28.636568,77.096336,,,0,,,0,,
107,,Janak Puri East,,28.633121,77.086578,,,0,,,0,,
108,,Janak Puri West,,28.628914092232502,77.07795552831121,,,0,,,0,,
109,,Uttam Nagar East,,28.624826972843664,77.06527335676004,,,0,,,0,,
110,,Uttam Nagar West,,28.621672,77.055664,,,0,,,0,,
111,,Nawada,,28.620222,77.044991,,,0,,,0,,
112,,Dwarka Mor,,28.619366,77.033188,,,0,,,0,,
113,,Dwarka,,28.61588466713957,77.02241062478302,,,0,,,0,,
114,,Dwarka Sector - 14,,28.602232,77.02594,,,0,,,0,,
115,,Dwarka Sector - 13,,28.59705,77.033043,,,0,,,0,,
116,,Dwarka Sector - 12,,28.592234,77.040558,,,0,,,0,,
117,,Dwarka Sector - 11,,28.58642,77.049255,,,0,,,0,,
118,,Dwarka Sector - 10,,28.581108,77.05719,,,0,,,0,,
119,,Dwarka Sector - 9,,28.574284,77.065086,,,0,,,0,,
120,,Dwarka Sector - 8,,28.56559298119209,77.0670348924294,,,0,,,0,,
121,,Dwarka Sector - 21,,28.551919584433197,77.05856991753984,,,0,,,0,,
122,,ITO,,28.628188969759734,77.24103891151437,,,0,,,0,,
123,,Janpath,,28.62403589909762,77.21926957516925,,,0,,,0,,
124,,Khan Market,,28.6022319378212,77.2291255783032,,,0,,,0,,
125,,Jawahar Lal Nehru Stadium,,28.5882335761135,77.23379376701426,,,0,,,0,,
126,,Jangpura,,28.583047303365134,77.2393108842072,,,0,,,0,,
127,,Lajpat Nagar,,28.570586956145423,77.23640838188795,,,0,,,0,,
128,,Moolchand,,28.564391565059776,77.23425739267141,,,0,,,0,,
129,,Kailash Colony,,28.55532160858451,77.2419893134159,,,0,,,0,,
130,,Nehru Place,,28.551415396986584,77.25174052224091,,,0,,,0,,
131,,Kalkaji Mandir,,28.549532,77.258789,,,0,,,0,,
132,,Govind Puri,,28.544413,77.264259,,,0,,,0,,
133,,Harkesh Nagar Okhla,,28.54318784766776,77.27535467441606,,,0,,,0,,
134,,Jasola-Apollo,,28.538178435016043,77.28324105337624,,,0,,,0,,
135,,Sarita Vihar,,28.528622,77.288345,,,0,,,0,,
136,,Mohan Estate,,28.51959,77.294518,,,0,,,0,,
137,,Tughlakabad Station,,28.502554315346504,77.29938749747389,,,0,,,0,,
138,,Badarpur Border,,28.493271591667487,77.30301328434302,,,0,,,0,,
139,,Sarai,,28.47794,77.304932,,,0,,,0,,
140,,NHPC Chowk,,28.457731348420754,77.30736105044816,,,0,,,0,,
141,,Mewala Maharajpur,,28.4485,77.308098,,,0,,,0,,
142,,Sector-28,,28.438204355690218,77.30907681984158,,,0,,,0,,
143,,Badkal Mor,,28.422707,77.310234,,,0,,,0,,
144,,Old Faridabad,,28.412172,77.311272,,,0,,,0,,
145,,Neelam Chowk Ajronda,,28.39764839334984,77.31237112263568,,,0,,,0,,
146,,Bata Chowk,,28.385946036793765,77.31343573189716,,,0,,,0,,
147,,Escorts Mujesar,,28.370199,77.315002,,,0,,,0,,
148,,Sikanderpur (Rapid Metro),,28.480989232420384,77.09442830539834,,,0,,,0,,
149,,Phase 2 (Rapid Metro),,28.487514855695668,77.09301793265783,,,0,,,0,,
